en,meaning_en,meaning_ja,meaning_zh,meaning_fr,meaning_de,meaning_es,meaning_it,meaning_pt,meaning_ru,meaning_ar,meaning_hi
ascent,"Act of climbing or going up.","上昇; 登ることまたは上がる行為。","上升; 攀爬或向上的行为。","Ascension; acte de grimper ou de monter.","Aufstieg; Akt des Kletterns oder Hinaufgehens.","Ascenso; acto de escalar o subir.","Ascesa; atto di scalare o salire.","Ascensão; ato de escalar ou subir.","Восхождение; акт подъёма или восхождения.","صعود; فعل التسلق أو الصعود.","चढ़ाई; चढ़ने या ऊपर जाने की क्रिया।"
ash,"The powdery residue left after burning.","灰; 燃焼後に残る粉状の残留物。","灰; 燃烧后留下的粉状残留物。","Cendre; résidu poudreux laissé après combustion.","Asche; pulveriger Rückstand nach dem Verbrennen.","Ceniza; residuo polvoriento dejado después de quemar.","Cenere; residuo polveroso lasciato dopo la combustione.","Cinza; resíduo em pó deixado após queimar.","Зола; порошкообразный остаток, оставшийся после горения.","رماد; بقايا مسحوقة متبقية بعد الحرق.","राख; जलने के बाद बचा पाउडर जैसा अवशेष।"
asia,"Largest continent on Earth.","アジア; 地球上最大の大陸。","亚洲; 地球上最大的大陆。","Asie; plus grand continent de la Terre.","Asien; größter Kontinent der Erde.","Asia; continente más grande de la Tierra.","Asia; continente più grande della Terra.","Ásia; maior continente da Terra.","Азия; крупнейший континент на Земле.","آسيا; أكبر قارة على الأرض.","एशिया; पृथ्वी का सबसे बड़ा महाद्वीप।"
aspect,"Side; feature; viewpoint; appearance.","側面; 特徴; 観点; 外観。","方面; 特征; 观点; 外观。","Aspect; côté; caractéristique; point de vue; apparence.","Aspekt; Seite; Merkmal; Blickwinkel; Aussehen.","Aspecto; lado; característica; punto de vista; apariencia.","Aspetto; lato; caratteristica; punto di vista; apparenza.","Aspecto; lado; característica; ponto de vista; aparência.","Аспект; сторона; особенность; точка зрения; внешний вид.","جانب; جانب; ميزة; وجهة نظر; مظهر.","पहलू; पक्ष; विशेषता; दृष्टिकोण; दिखावट।"aspiration,"A hope or ambition of achieving something.","願望; 何かを達成する希望や野心。","愿望; 实现某事的希望或雄心。","Aspiration; espoir ou ambition de réaliser quelque chose.","Bestrebung; Hoffnung oder Ehrgeiz, etwas zu erreichen.","Aspiración; esperanza o ambición de lograr algo.","Aspirazione; speranza o ambizione di raggiungere qualcosa.","Aspiração; esperança ou ambição de alcançar algo.","Стремление; надежда или амбиция достичь чего-либо.","طموح; أمل أو طموح لتحقيق شيء ما.","आकांक्षा; कुछ हासिल करने की उम्मीद या महत्वाकांक्षा।"
aspirin,"Common pain-relieving medication.","アスピリン; 一般的な鎮痛薬。","阿司匹林; 常见的止痛药物。","Aspirine; médicament analgésique courant.","Aspirin; gängiges schmerzlinderndes Medikament.","Aspirina; medicamento analgésico común.","Aspirina; farmaco analgesico comune.","Aspirina; medicamento analgésico comum.","Аспирин; обычное болеутоляющее лекарство.","أسبرين; دواء مسكن للألم شائع.","एस्पिरिन; आम दर्द निवारक दवा।"
ass,"Donkey; buttocks (informal).","ロバ; 尻（非公式）。","驴; 屁股（非正式）。","Âne; fesses (informel).","Esel; Hintern (umgangssprachlich).","Burro; nalgas (informal).","Asino; natiche (informale).","Burro; nádegas (informal).","Осёл; ягодицы (неформально).","حمار; مؤخرة (غير رسمي).","गधा; नितंब (अनौपचारिक)।"
assault,"Attack; violence; aggression; battery.","攻撃; 暴行; 暴力; 攻撃; 暴行。","攻击; 暴行; 暴力; 攻击; 殴打。","Agression; attaque; violence; agression; coups et blessures.","Angriff; Attacke; Gewalt; Aggression; Körperverletzung.","Asalto; ataque; violencia; agresión; agresión.","Assalto; attacco; violenza; aggressione; percosse.","Assalto; ataque; violência; agressão; agressão.","Нападение; атака; насилие; агрессия; избиение.","هجوم; هجوم; عنف; عدوان; اعتداء.","हमला; आक्रमण; हिंसा; आक्रामकता; मारपीट।"
assembly,"Gathering; meeting; construction; group.","集会; 集まり; 会議; 構築; グループ。","集会; 聚集; 会议; 构造; 群体。","Assemblée; rassemblement; réunion; construction; groupe.","Versammlung; Zusammenkunft; Besprechung; Konstruktion; Gruppe.","Asamblea; reunión; encuentro; construcción; grupo.","Assemblea; raduno; riunione; costruzione; gruppo.","Assembleia; reunião; encontro; construção; grupo.","Собрание; собрание; встреча; конструкция; группа.","جمعية; تجمع; اجتماع; بناء; مجموعة.","सभा; सभा; बैठक; निर्माण; समूह।"
assertion,"A confident and forceful statement.","断言; 自信に満ちた力強い声明。","断言; 自信而有力的陈述。","Assertion; déclaration confiante et énergique.","Behauptung; selbstbewusste und nachdrückliche Aussage.","Afirmación; declaración confiada y enérgica.","Asserzione; dichiarazione fiduciosa e vigorosa.","Afirmação; declaração confiante e enérgica.","Утверждение; уверенное и решительное заявление.","تأكيد; بيان واثق وقوي.","दावा; आत्मविश्वास से भरा मजबूत कथन।"
assessment,"Evaluation; judgment; appraisal; test.","評価; 査定; 判断; 評価; テスト。","评估; 评价; 判断; 评估; 测试。","Évaluation; évaluation; jugement; appréciation; test.","Bewertung; Beurteilung; Urteil; Einschätzung; Test.","Evaluación; evaluación; juicio; valoración; prueba.","Valutazione; valutazione; giudizio; valutazione; test.","Avaliação; avaliação; julgamento; avaliação; teste.","Оценка; оценка; суждение; оценка; тест.","تقييم; تقييم; حكم; تقدير; اختبار.","आकलन; मूल्यांकन; निर्णय; मूल्यांकन; परीक्षा।"
asset,"Resource; property; advantage; wealth.","資産; 資源; 財産; 利点; 富。","资产; 资源; 财产; 优势; 财富。","Atout; ressource; propriété; avantage; richesse.","Vermögenswert; Ressource; Eigentum; Vorteil; Reichtum.","Activo; recurso; propiedad; ventaja; riqueza.","Bene; risorsa; proprietà; vantaggio; ricchezza.","Ativo; recurso; propriedade; vantagem; riqueza.","Актив; ресурс; собственность; преимущество; богатство.","أصل; مورد; ممتلكات; ميزة; ثروة.","संपत्ति; संसाधन; संपत्ति; लाभ; धन।"
assignment,"Task; job; homework; allocation.","課題; 割り当て; 仕事; 宿題; 配分。","作业; 任务; 工作; 作业; 分配。","Devoir; tâche; travail; devoirs; affectation.","Aufgabe; Auftrag; Arbeit; Hausaufgabe; Zuteilung.","Tarea; asignación; trabajo; tarea; asignación.","Compito; incarico; lavoro; compiti; assegnazione.","Tarefa; atribuição; trabalho; lição de casa; alocação.","Задание; задача; работа; домашнее задание; назначение.","مهمة; مهمة; عمل; واجب منزلي; تخصيص.","कार्य; काम; काम; गृहकार्य; आवंटन।"assistance,"Help or support.","援助; 助けまたは支援。","帮助; 帮助或支持。","Assistance; aide ou soutien.","Hilfe; Hilfe oder Unterstützung.","Asistencia; ayuda o apoyo.","Assistenza; aiuto o supporto.","Assistência; ajuda ou apoio.","Помощь; помощь или поддержка.","مساعدة; مساعدة أو دعم.","सहायता; मदद या सहारा।"
assistant,"Helper; aide; supporter; deputy.","助手; ヘルパー; 補佐; 支持者; 代理。","助手; 帮手; 助手; 支持者; 副手。","Assistant; aide; assistant; partisan; adjoint.","Assistent; Helfer; Gehilfe; Unterstützer; Stellvertreter.","Asistente; ayudante; asistente; partidario; suplente.","Assistente; aiutante; assistente; sostenitore; vice.","Assistente; ajudante; assistente; partidário; deputado.","Ассистент; помощник; помощник; сторонник; заместитель.","مساعد; مساعد; مساعد; مؤيد; نائب.","सहायक; सहायक; सहायक; समर्थक; उप।"
associate,"Partner or colleague; person connected with.","仲間; パートナーまたは同僚; つながりのある人。","伙伴; 合伙人或同事; 与之相关的人。","Associé; partenaire ou collègue; personne connectée avec.","Mitarbeiter; Partner oder Kollege; Person verbunden mit.","Asociado; socio o colega; persona conectada con.","Associato; partner o collega; persona collegata con.","Associado; parceiro ou colega; pessoa conectada com.","Партнёр; партнёр или коллега; человек, связанный с.","شريك; شريك أو زميل; شخص مرتبط بـ.","सहयोगी; साझीदार या सहकर्मी; से जुड़ा व्यक्ति।"
association,"Organization; connection; society; link.","協会; 組織; つながり; 社会; リンク。","协会; 组织; 联系; 社会; 链接。","Association; organisation; connexion; société; lien.","Vereinigung; Organisation; Verbindung; Gesellschaft; Verknüpfung.","Asociación; organización; conexión; sociedad; enlace.","Associazione; organizzazione; connessione; società; collegamento.","Associação; organização; conexão; sociedade; ligação.","Ассоциация; организация; связь; общество; связь.","جمعية; منظمة; اتصال; مجتمع; رابط.","संघ; संगठन; संबंध; समाज; कड़ी।"
assortment,"Miscellaneous collection of things.","分類; 雑多なものの集合。","分类; 各种事物的混合收集。","Assortiment; collection diverse d'objets.","Sortiment; verschiedenartige Sammlung von Dingen.","Surtido; colección variada de cosas.","Assortimento; raccolta varia di cose.","Sortimento; coleção diversa de coisas.","Ассортимент; разнообразная коллекция вещей.","تشكيلة; مجموعة متنوعة من الأشياء.","वर्गीकरण; चीजों का मिश्रित संग्रह।"
assumption,"Belief; supposition; premise; guess.","仮定; 信念; 推測; 前提; 推量。","假设; 信念; 假设; 前提; 猜测。","Supposition; croyance; supposition; prémisse; conjecture.","Annahme; Glaube; Vermutung; Prämisse; Vermutung.","Suposición; creencia; suposición; premisa; conjetura.","Supposizione; credenza; supposizione; premessa; congettura.","Suposição; crença; suposição; premissa; palpite.","Предположение; вера; предположение; предпосылка; догадка.","افتراض; اعتقاد; افتراض; فرضية; تخمين.","धारणा; विश्वास; अनुमान; आधार; अटकल।"
assurance,"Confidence or certainty in one's abilities.","保証; 自分の能力への自信や確実性。","保证; 对自己能力的信心或确定性。","Assurance; confiance ou certitude en ses capacités.","Versicherung; Vertrauen oder Gewissheit in die eigenen Fähigkeiten.","Seguridad; confianza o certeza en las propias habilidades.","Sicurezza; fiducia o certezza nelle proprie capacità.","Segurança; confiança ou certeza nas próprias habilidades.","Уверенность; уверенность или определённость в своих способностях.","ضمان; ثقة أو يقين في قدرات المرء.","आश्वासन; अपनी क्षमताओं में विश्वास या निश्चितता।"
asteroid,"Small rocky object orbiting the sun.","小惑星; 太陽を回る小さな岩石状天体。","小行星; 围绕太阳运行的小岩石天体。","Astéroïde; petit objet rocheux en orbite autour du soleil.","Asteroid; kleiner Gesteinsbrocken, der die Sonne umkreist.","Asteroide; pequeño objeto rocoso que orbita el sol.","Asteroide; piccolo oggetto roccioso che orbita attorno al sole.","Asteróide; pequeno objeto rochoso orbitando o sol.","Астероид; маленький каменистый объект, вращающийся вокруг солнца.","كويكب; جسم صخري صغير يدور حول الشمس.","क्षुद्रग्रह; सूर्य की परिक्रमा करने वाली छोटी चट्टानी वस्तु।"
asthma,"A respiratory condition causing difficulty in breathing.","喘息; 呼吸困難を引き起こす呼吸器疾患。","哮喘; 导致呼吸困难的呼吸系统疾病。","Asthme; condition respiratoire causant des difficultés respiratoires.","Asthma; Atemwegserkrankung, die Atembeschwerden verursacht.","Asma; condición respiratoria que causa dificultad para respirar.","Asma; condizione respiratoria che causa difficoltà nella respirazione.","Asma; condição respiratória que causa dificuldade para respirar.","Астма; респираторное состояние, вызывающее затруднение дыхания.","ربو; حالة تنفسية تسبب صعوبة في التنفس.","दमा; सांस की बीमारी जो सांस लेने में कठिनाई पैदा करती है।"
astonishment,"Great surprise or amazement.","驚愕; 大きな驚きや驚嘆。","惊讶; 巨大的惊讶或惊愕。","Étonnement; grande surprise ou émerveillement.","Erstaunen; große Überraschung oder Verwunderung.","Asombro; gran sorpresa o asombro.","Stupore; grande sorpresa o meraviglia.","Espanto; grande surpresa ou espanto.","Удивление; большое удивление или изумление.","دهشة; مفاجأة كبيرة أو ذهول.","आश्चर्य; बड़ा आश्चर्य या विस्मय।"affair,"Matter; business; event; romance.","事件; 問題; 事業; 出来事; 恋愛関係。","事务; 事件; 业务; 事件; 恋情。","Affaire; question; entreprise; événement; romance.","Angelegenheit; Geschäft; Ereignis; Romanze.","Asunto; negocio; evento; romance.","Affare; questione; evento; romanticismo.","Assunto; negócio; evento; romance.","Дело; вопрос; событие; роман.","شأن; عمل; حدث; رومانسية.","मामला; व्यापार; घटना; प्रेम प्रसंग।"
affection,"Fondness; love; warmth; tenderness.","愛情; 愛; 愛着; 暖かさ; 優しさ。","感情; 喜爱; 爱; 温暖; 温柔。","Affection; amour; chaleur; tendresse.","Zuneigung; Liebe; Wärme; Zärtlichkeit.","Afecto; amor; calidez; ternura.","Affetto; amore; calore; tenerezza.","Afeição; amor; calor; ternura.","Привязанность; любовь; тепло; нежность.","عاطفة; حب; دفء; حنان.","स्नेह; प्रेम; गर्मजोशी; कोमलता।"
affidavit,"Sworn written statement used as evidence.","宣誓書; 証拠として使用される宣誓された書面陳述。","宣誓书; 用作证据的宣誓书面陈述。","Affidavit; déclaration écrite assermentée utilisée comme preuve.","Eidesstattliche Erklärung; beeidete schriftliche Aussage als Beweis verwendet.","Declaración jurada; declaración escrita jurada utilizada como evidencia.","Dichiarazione giurata; dichiarazione scritta giurata usata come prova.","Declaração juramentada; declaração escrita jurada usada como evidência.","Письменное показание под присягой; письменное заявление под присягой, используемое как доказательство.","إقرار مشفوع بيمين; بيان مكتوب محلوف يستخدم كدليل.","शपथपत्र; साक्ष्य के रूप में उपयोग किया जाने वाला शपथ लिया गया लिखित कथन।"
affinity,"Natural liking; attraction; relationship.","親和性; 自然な好み; 魅力; 関係。","亲和力; 天然的喜爱; 吸引力; 关系。","Affinité; goût naturel; attraction; relation.","Affinität; natürliche Neigung; Anziehung; Beziehung.","Afinidad; gusto natural; atracción; relación.","Affinità; simpatia naturale; attrazione; relazione.","Afinidade; gosto natural; atração; relacionamento.","Родство; естественная склонность; притяжение; отношения.","تقارب; حب طبيعي; جاذبية; علاقة.","आत्मीयता; प्राकृतिक रुचि; आकर्षण; संबंध।"
aftercare,"Care provided after treatment or surgery.","アフターケア; 治療や手術後に提供されるケア。","后续护理; 治疗或手术后提供的护理。","Suivi médical; soins fournis après traitement ou chirurgie.","Nachsorge; Pflege nach Behandlung oder Operation.","Cuidados posteriores; atención proporcionada después del tratamiento o cirugía.","Assistenza post-operatoria; cure fornite dopo trattamento o chirurgia.","Cuidados posteriores; cuidados fornecidos após tratamento ou cirurgia.","Послеоперационный уход; забота, предоставляемая после лечения или операции.","رعاية لاحقة; رعاية مقدمة بعد العلاج أو الجراحة.","उपचार पश्चात देखभाल; उपचार या शल्य चिकित्सा के बाद प्रदान की जाने वाली देखभाल।"
afternoon,"Time between noon and evening.","午後; 正午から夕方までの時間。","下午; 中午到晚上之间的时间。","Après-midi; période entre midi et le soir.","Nachmittag; Zeit zwischen Mittag und Abend.","Tarde; tiempo entre mediodía y la noche.","Pomeriggio; tempo tra mezzogiorno e sera.","Tarde; tempo entre meio-dia e noite.","После полудня; время между полднем и вечером.","بعد الظهر; الوقت بين الظهر والمساء.","दोपहर; दोपहर और शाम के बीच का समय।"
age,"Length of life; era; period; maturity.","年齢; 生涯の長さ; 時代; 期間; 成熟。","年龄; 生命的长度; 时代; 时期; 成熟。","Âge; durée de vie; ère; période; maturité.","Alter; Lebensdauer; Zeitalter; Periode; Reife.","Edad; duración de vida; era; período; madurez.","Età; durata della vita; era; periodo; maturità.","Idade; duração da vida; era; período; maturidade.","Возраст; продолжительность жизни; эра; период; зрелость.","عمر; مدة الحياة; عصر; فترة; نضج.","आयु; जीवन की लंबाई; युग; काल; परिपक्वता।"
agency,"Organization providing services; action; power.","機関; サービスを提供する組織; 行動; 力。","机构; 提供服务的组织; 行动; 权力。","Agence; organisation fournissant des services; action; pouvoir.","Agentur; Organisation, die Dienstleistungen anbietet; Handlung; Macht.","Agencia; organización que proporciona servicios; acción; poder.","Agenzia; organizzazione che fornisce servizi; azione; potere.","Agência; organização que fornece serviços; ação; poder.","Агентство; организация, предоставляющая услуги; действие; власть.","وكالة; منظمة تقدم خدمات; عمل; قوة.","एजेंसी; सेवा प्रदान करने वाला संगठन; कार्य; शक्ति।"
agenda,"List of items to be discussed; program.","議題; 議論すべき項目のリスト; プログラム。","议程; 要讨论的项目清单; 程序。","Ordre du jour; liste d'éléments à discuter; programme.","Tagesordnung; Liste der zu besprechenden Punkte; Programm.","Agenda; lista de elementos a discutir; programa.","Agenda; elenco di argomenti da discutere; programma.","Agenda; lista de itens a serem discutidos; programa.","Повестка дня; список вопросов для обсуждения; программа.","جدول أعمال; قائمة بالبنود المراد مناقشتها; برنامج.","कार्यसूची; चर्चा की जाने वाली वस्तुओं की सूची; कार्यक्रम।"
agent,"Representative; person acting for another.","代理人; 他人のために行動する人; 代表者。","代理人; 代表他人行事的人; 代表。","Agent; représentant; personne agissant pour un autre.","Vertreter; Person, die für einen anderen handelt.","Agente; representante; persona que actúa por otro.","Agente; rappresentante; persona che agisce per un altro.","Agente; representante; pessoa que age por outro.","Агент; представитель; лицо, действующее от имени другого.","وكيل; ممثل; شخص يتصرف نيابة عن آخر.","एजेंट; प्रतिनिधि; दूसरे के लिए काम करने वाला व्यक्ति।"aggregate,"Total; sum; collection; whole.","合計; 総計; 総和; 集合; 全体。","总计; 总和; 集合; 整体。","Agrégat; total; somme; collection; ensemble.","Aggregat; Gesamt; Summe; Sammlung; Ganzes.","Agregado; total; suma; colección; conjunto.","Aggregato; totale; somma; raccolta; insieme.","Agregado; total; soma; coleção; conjunto.","Совокупность; итог; сумма; коллекция; целое.","مجموع; إجمالي; مجموع; مجموعة; كامل.","कुल; योग; संग्रह; संपूर्ण।"
agitation,"State of anxiety; unrest; stirring.","動揺; 不安の状態; 不安; かき混ぜること。","激动; 焦虑状态; 动乱; 搅动。","Agitation; état d'anxiété; troubles; remue-ménage.","Aufregung; Zustand der Angst; Unruhe; Rühren.","Agitación; estado de ansiedad; inquietud; agitación.","Agitazione; stato di ansia; inquietudine; mescolamento.","Agitação; estado de ansiedade; inquietação; agitação.","Волнение; состояние тревоги; беспокойство; перемешивание.","إثارة; حالة من القلق; اضطراب; تحريك.","उत्तेजना; चिंता की स्थिति; अशांति; हलचल।"
agony,"Extreme physical or mental suffering.","苦悶; 極度の身体的または精神的苦痛。","痛苦; 极端的身体或精神痛苦。","Agonie; souffrance physique ou mentale extrême.","Agonie; extreme körperliche oder geistige Leiden.","Agonía; sufrimiento físico o mental extremo.","Agonia; sofferenza fisica o mentale estrema.","Agonia; sofrimento físico ou mental extremo.","Агония; крайние физические или душевные страдания.","معاناة; معاناة جسدية أو عقلية شديدة.","पीड़ा; अत्यधिक शारीरिक या मानसिक कष्ट।"
agreement,"Contract; accord; harmony; deal.","合意; 契約; 協定; 調和; 取引。","协议; 合同; 协定; 和谐; 交易。","Accord; contrat; accord; harmonie; affaire.","Vereinbarung; Vertrag; Einigung; Harmonie; Geschäft.","Acuerdo; contrato; acuerdo; armonía; trato.","Accordo; contratto; accordo; armonia; affare.","Acordo; contrato; acordo; harmonia; negócio.","Соглашение; договор; согласие; гармония; сделка.","اتفاق; عقد; اتفاق; انسجام; صفقة.","समझौता; अनुबंध; सहमति; सामंजस्य; सौदा।"
agriculture,"Farming; cultivation of crops and livestock.","農業; 農作物と家畜の栽培。","农业; 作物和牲畜的耕种。","Agriculture; élevage; culture des cultures et du bétail.","Landwirtschaft; Anbau von Pflanzen und Viehzucht.","Agricultura; cultivo de cultivos y ganado.","Agricoltura; coltivazione di colture e bestiame.","Agricultura; cultivo de culturas e criação de gado.","Сельское хозяйство; выращивание сельскохозяйственных культур и скота.","زراعة; زراعة المحاصيل والثروة الحيوانية.","कृषि; फसलों और पशुधन की खेती।"
aid,"Help; assistance; support; relief.","援助; 助け; 支援; 支持; 救援。","援助; 帮助; 协助; 支持; 救济。","Aide; assistance; soutien; secours.","Hilfe; Beistand; Unterstützung; Erleichterung.","Ayuda; asistencia; apoyo; alivio.","Aiuto; assistenza; supporto; sollievo.","Ajuda; assistência; apoio; alívio.","Помощь; содействие; поддержка; облегчение.","مساعدة; مساعدة; دعم; إغاثة.","सहायता; सहायता; समर्थन; राहत।"
aide,"Assistant; helper; supporter.","補佐官; 助手; ヘルパー; 支援者。","助手; 助手; 帮手; 支持者。","Aide; assistant; aidant; partisan.","Gehilfe; Assistent; Helfer; Unterstützer.","Ayudante; asistente; ayudante; partidario.","Assistente; aiutante; sostenitore.","Ajudante; assistente; ajudante; apoiador.","Помощник; ассистент; помощник; сторонник.","مساعد; مساعد; مساعد; مؤيد.","सहायक; सहायक; सहायक; समर्थक।"
aim,"Purpose; goal; target; intention.","目的; 目標; 的; 意図。","目标; 目的; 目标; 意图。","But; objectif; cible; intention.","Ziel; Zweck; Ziel; Absicht.","Objetivo; meta; objetivo; intención.","Obiettivo; scopo; bersaglio; intenzione.","Objetivo; meta; alvo; intenção.","Цель; цель; мишень; намерение.","هدف; غرض; هدف; نية.","उद्देश्य; लक्ष्य; निशाना; इरादा।"
air,"Atmosphere; gas mixture; broadcast.","空気; 大気; ガス混合物; 放送。","空气; 大气; 气体混合物; 广播。","Air; atmosphère; mélange de gaz; diffusion.","Luft; Atmosphäre; Gasgemisch; Sendung.","Aire; atmósfera; mezcla de gases; transmisión.","Aria; atmosfera; miscela di gas; trasmissione.","Ar; atmosfera; mistura de gases; transmissão.","Воздух; атмосfera; газовая смесь; трансляция.","هواء; غلاف جوي; خليط غازي; بث.","हवा; वायुमंडल; गैस मिश्रण; प्रसारण।"
airhead,"Silly or foolish person.","おバカ; ばかな人や愚かな人。","蠢人; 愚蠢或愚笨的人。","Tête en l'air; personne sotte ou stupide.","Dummkopf; dumme oder törichte Person.","Cabeza hueca; persona tonta o tonta.","Testa vuota; persona sciocca o stupida.","Cabeça oca; pessoa boba ou tola.","Пустоголовый; глупый или глупый человек.","رأس فارغ; شخص أحمق أو غبي.","खोखला सिर; मूर्ख या बेवकूफ व्यक्ति।"airport,"Place where aircraft take off and land.","空港; 航空機が離着陸する場所。","机场; 飞机起飞和降落的地方。","Aéroport; lieu où les avions décollent et atterrissent.","Flughafen; Ort, wo Flugzeuge starten und landen.","Aeropuerto; lugar donde los aviones despegan y aterrizan.","Aeroporto; luogo dove gli aerei decollano e atterrano.","Aeroporto; lugar onde as aeronaves decolam e pousam.","Аэропорт; место, где самолёты взлетают и садятся.","مطار; مكان تقلع فيه الطائرات وتهبط.","हवाई अड्डा; वह स्थान जहाँ विमान उड़ान भरते और उतरते हैं।"
airway,"Route regularly used by aircraft.","航路; 航空機が定期的に使用するルート。","航线; 飞机经常使用的路线。","Voie aérienne; route régulièrement utilisée par les avions.","Luftstraße; Route, die regelmäßig von Flugzeugen genutzt wird.","Vía aérea; ruta utilizada regularmente por aeronaves.","Rotta aerea; rotta regolarmente utilizzata dagli aerei.","Via aérea; rota regularmente usada por aeronaves.","Воздушная трасса; маршрут, регулярно используемый самолётами.","طريق جوي; طريق تستخدمه الطائرات بانتظام.","हवाई मार्ग; विमानों द्वारा नियमित रूप से उपयोग किया जाने वाला मार्ग।"
alarm,"Warning signal; device that alerts.","警報; 警告信号; 警告するデバイス。","警报; 警告信号; 发出警报的装置。","Alarme; signal d'avertissement; dispositif qui alerte.","Alarm; Warnsignal; Gerät, das warnt.","Alarma; señal de advertencia; dispositivo que alerta.","Allarme; segnale di avvertimento; dispositivo che avvisa.","Alarme; sinal de aviso; dispositivo que alerta.","Сигнализация; предупредительный сигнал; устройство, которое предупреждает.","إنذار; إشارة تحذير; جهاز ينبه.","अलार्म; चेतावनी संकेत; चेतावनी देने वाला उपकरण।"
alaska,"Largest state in the United States.","アラスカ; アメリカ合衆国で最大の州。","阿拉斯加; 美国最大的州。","Alaska; plus grand état des États-Unis.","Alaska; größter Bundesstaat der Vereinigten Staaten.","Alaska; estado más grande de Estados Unidos.","Alaska; stato più grande degli Stati Uniti.","Alasca; maior estado dos Estados Unidos.","Аляска; крупнейший штат США.","ألاسكا; أكبر ولاية في الولايات المتحدة.","अलास्का; संयुक्त राज्य अमेरिका का सबसे बड़ा राज्य।"
album,"Collection of photographs or music recordings.","アルバム; 写真や音楽録音の集合。","专辑; 照片或音乐录音的集合。","Album; collection de photographies ou d'enregistrements musicaux.","Album; Sammlung von Fotografien oder Musikaufnahmen.","Álbum; colección de fotografías o grabaciones musicales.","Album; raccolta di fotografie o registrazioni musicali.","Álbum; coleção de fotografias ou gravações musicais.","Альбом; коллекция фотографий или музыкальных записей.","ألبوم; مجموعة من الصور أو التسجيلات الموسيقية.","एल्बम; तस्वीरों या संगीत रिकॉर्डिंग का संग्रह।"
alcohol,"Chemical compound; intoxicating substance in drinks.","アルコール; 化学化合物; 飲み物に含まれる酔わせる物質。","酒精; 化学化合物; 饮料中的致醉物质。","Alcool; composé chimique; substance intoxicante dans les boissons.","Alkohol; chemische Verbindung; berauschende Substanz in Getränken.","Alcohol; compuesto químico; sustancia intoxicante en bebidas.","Alcol; composto chimico; sostanza inebriante nelle bevande.","Álcool; composto químico; substância intoxicante em bebidas.","Алкоголь; химическое соединение; опьяняющее вещество в напитках.","كحول; مركب كيميائي; مادة مسكرة في المشروبات.","एल्कोहल; रासायनिक यौगिक; पेय में नशीला पदार्थ।"
alcoholism,"Addiction to alcoholic drinks.","アルコール依存症; アルコール飲料への依存。","酒精中毒; 对酒精饮料的成瘾。","Alcoolisme; dépendance aux boissons alcoolisées.","Alkoholismus; Sucht nach alkoholischen Getränken.","Alcoholismo; adicción a las bebidas alcohólicas.","Alcolismo; dipendenza da bevande alcoliche.","Alcoolismo; vício em bebidas alcoólicas.","Алкоголизм; зависимость от алкогольных напитков.","إدمان الكحول; إدمان على المشروبات الكحولية.","शराबबंदी; मादक पेय पदार्थों की लत।"
alibi,"Claim of being elsewhere when crime occurred.","アリバイ; 犯罪が起こった時に別の場所にいたという主張。","不在场证明; 犯罪发生时声称在别处的说法。","Alibi; affirmation d'être ailleurs quand le crime a eu lieu.","Alibi; Behauptung, anderswo gewesen zu sein, als das Verbrechen geschah.","Coartada; afirmación de estar en otro lugar cuando ocurrió el crimen.","Alibi; affermazione di essere altrove quando è avvenuto il crimine.","Álibi; alegação de estar em outro lugar quando o crime ocorreu.","Алиби; утверждение о нахождении в другом месте во время преступления.","حجة غياب; ادعاء التواجد في مكان آخر عند وقوع الجريمة.","अलिबाई; अपराध के समय कहीं और होने का दावा।"
alien,"Foreign; extraterrestrial being; outsider.","エイリアン; 外国人; 地球外生物; 部外者。","外星人; 外国的; 外星生物; 局外人。","Étranger; être extraterrestre; étranger; outsider.","Außerirdischer; fremd; außerirdisches Wesen; Außenseiter.","Extraterrestre; extranjero; ser extraterrestre; forastero.","Alieno; straniero; essere extraterrestre; estraneo.","Alienígena; estrangeiro; ser extraterrestre; forasteiro.","Пришелец; иностранный; внеземное существо; чужак.","أجنبي; كائن فضائي; غريب; دخيل.","परग्रही; विदेशी; अलौकिक प्राणी; बाहरी व्यक्ति।"
alignment,"Arrangement in straight line; agreement.","配置; 直線に並べること; 合意。","对齐; 排列成直线; 一致。","Alignement; arrangement en ligne droite; accord.","Ausrichtung; Anordnung in gerader Linie; Übereinstimmung.","Alineación; disposición en línea recta; acuerdo.","Allineamento; disposizione in linea retta; accordo.","Alinhamento; arranjo em linha reta; acordo.","Выравнивание; расположение по прямой линии; соглашение.","محاذاة; ترتيب في خط مستقيم; اتفاق.","संरेखण; सीधी रेखा में व्यवस्था; समझौता।"all,"Everything; the whole amount; totality.","全て; すべて; 全体の量; 全体性。","全部; 一切; 全部数量; 整体。","Tout; la totalité; l'ensemble; totalité.","Alles; die ganze Menge; Gesamtheit.","Todo; la cantidad total; totalidad.","Tutto; l'intera quantità; totalità.","Tudo; a quantidade total; totalidade.","Всё; всё количество; целостность.","كل شيء; المبلغ الكامل; الكمال.","सब कुछ; पूरी मात्रा; संपूर्णता।"
