en	lang	example_translation
domestic	zh	
domination	de	
domination	fr	
domination	es	
domination	it	
domination	pt	
domination	ru	
domination	ar	
domination	hi	
domination	ja	
domination	zh	
dominion	de	
dominion	fr	
dominion	es	
dominion	it	
dominion	pt	
dominion	ru	
dominion	ar	
dominion	hi	
dominion	ja	
dominion	zh	
don	de	
don	fr	
don	es	
don	it	
don	pt	
don	ru	
don	ar	
don	hi	
don	ja	
don	zh	
donation	de	
donation	fr	
donation	es	
donation	it	
donation	pt	
donation	ru	
donation	ar	
donation	hi	
donation	ja	
donation	zh	
donkey	de	
donkey	fr	
donkey	es	
donkey	it	
donkey	pt	
donkey	ru	
donkey	ar	
donkey	hi	
donkey	ja	
donkey	zh	
donut	de	
donut	fr	
donut	es	
donut	it	
donut	pt	
donut	ru	
donut	ar	
donut	hi	
donut	ja	
donut	zh	
doom	de	
doom	fr	
doom	es	
doom	it	
doom	pt	
doom	ru	
doom	ar	
doom	hi	
doom	ja	
doom	zh	
door	de	
door	fr	
door	es	
door	it	
door	pt	
door	ru	
door	ar	
door	hi	
door	ja	
door	zh	
doorway	de	
doorway	fr	
doorway	es	
doorway	it	
doorway	pt	
doorway	ru	
doorway	ar	
doorway	hi	
doorway	ja	
doorway	zh	
dope	de	
dope	fr	
dope	es	
dope	it	
dope	pt	
dope	ru	
dope	ar	
dope	hi	
dope	ja	
dope	zh	
dork	de	
dork	fr	
dork	es	
dork	it	
dork	pt	
dork	ru	
dork	ar	
dork	hi	
dork	ja	
dork	zh	
dormitory	de	
dormitory	fr	
dormitory	es	
dormitory	it	
dormitory	pt	
dormitory	ru	
dormitory	ar	
dormitory	hi	
dormitory	ja	
dormitory	zh	
dose	de	
dose	fr	
dose	es	
dose	it	
dose	pt	
dose	ru	
dose	ar	
dose	hi	
dose	ja	
dose	zh	
dot	de	
dot	fr	
dot	es	
dot	it	
dot	pt	
dot	ru	
dot	ar	
dot	hi	
dot	ja	
dot	zh	
double	de	
double	fr	
double	es	
double	it	
double	pt	
double	ru	
double	ar	
double	hi	
double	ja	
double	zh	
doubt	de	
doubt	fr	
doubt	es	
doubt	it	
doubt	pt	
doubt	ru	
doubt	ar	
doubt	hi	
doubt	ja	
doubt	zh	
down	de	
down	fr	
down	es	
down	it	
down	pt	
down	ru	
down	ar	
down	hi	
down	ja	
down	zh	
downtown	de	
downtown	fr	
downtown	es	
downtown	it	
downtown	pt	
downtown	ru	
downtown	ar	
downtown	hi	
downtown	ja	
downtown	zh	
dozen	de	
dozen	fr	
dozen	es	
dozen	it	
dozen	pt	
dozen	ru	
dozen	ar	
dozen	hi	
dozen	ja	
dozen	zh	
draft	de	
draft	fr	
draft	es	
draft	it	
draft	pt	
draft	ru	
draft	ar	
draft	hi	
draft	ja	
draft	zh	
dragon	de	
dragon	fr	
dragon	es	
dragon	it	
dragon	pt	
dragon	ru	
dragon	ar	
dragon	hi	
dragon	ja	
dragon	zh	
drama	de	
drama	fr	
drama	es	
drama	it	
drama	pt	
drama	ru	
drama	ar	
drama	hi	
drama	ja	
drama	zh	
drawer	de	
drawer	fr	
drawer	es	
drawer	it	
drawer	pt	
drawer	ru	
drawer	ar	
drawer	hi	
drawer	ja	
drawer	zh	
drawing	de	
drawing	fr	
drawing	es	
drawing	it	
drawing	pt	
drawing	ru	
drawing	ar	
drawing	hi	
drawing	ja	
drawing	zh	
dream	de	
dream	fr	
dream	es	
dream	it	
dream	pt	
dream	ru	
dream	ar	
dream	hi	
dream	ja	
dream	zh	
dress	de	
dress	fr	
dress	es	
dress	it	
dress	pt	
dress	ru	
dress	ar	
dress	hi	
dress	ja	
dress	zh	
drill	de	
drill	fr	
drill	es	
drill	it	
drill	pt	
drill	ru	
drill	ar	
drill	hi	
drill	ja	
drill	zh	
drink	de	
drink	fr	
drink	es	
drink	it	
drink	pt	
drink	ru	
drink	ar	
drink	hi	
drink	ja	
drink	zh	
drive	de	
drive	fr	
drive	es	
drive	it	
drive	pt	
drive	ru	
drive	ar	
drive	hi	
drive	ja	
drive	zh	
driver	de	
driver	fr	
driver	es	
driver	it	
driver	pt	
driver	ru	
driver	ar	
driver	hi	
driver	ja	
driver	zh	
drop	de	
drop	fr	
drop	es	
drop	it	
drop	pt	
drop	ru	
drop	ar	
drop	hi	
drop	ja	
drop	zh	
drug	de	
drug	fr	
drug	es	
drug	it	
drug	pt	
drug	ru	
drug	ar	
drug	hi	
drug	ja	
drug	zh	
drugstore	de	
drugstore	fr	
drugstore	es	
drugstore	it	
drugstore	pt	
drugstore	ru	
drugstore	ar	
drugstore	hi	
drugstore	ja	
drugstore	zh	
drum	de	
drum	fr	
drum	es	
drum	it	
drum	pt	
drum	ru	
drum	ar	
drum	hi	
drum	ja	
drum	zh	
duck	de	
duck	fr	
duck	es	
duck	it	
duck	pt	
duck	ru	
duck	ar	
duck	hi	
duck	ja	
duck	zh	
duckling	de	
duckling	fr	
duckling	es	
duckling	it	
duckling	pt	
duckling	ru	
duckling	ar	
duckling	hi	
duckling	ja	
duckling	zh	
due	de	
due	fr	
due	es	
due	it	
due	pt	
due	ru	
due	ar	
due	hi	
due	ja	
due	zh	
duke	de	
duke	fr	
duke	es	
duke	it	
duke	pt	
duke	ru	
duke	ar	
duke	hi	
duke	ja	
duke	zh	
dump	de	
dump	fr	
dump	es	
dump	it	
dump	pt	
dump	ru	
dump	ar	
dump	hi	
dump	ja	
dump	zh	
dumpling	de	
dumpling	fr	
dumpling	es	
dumpling	it	
dumpling	pt	
dumpling	ru	
dumpling	ar	
dumpling	hi	
dumpling	ja	
dumpling	zh	
duration	de	
duration	fr	
duration	es	
duration	it	
duration	pt	
duration	ru	
duration	ar	
duration	hi	
duration	ja	
duration	zh	
dust	de	
dust	fr	
dust	es	
dust	it	
dust	pt	
dust	ru	
dust	ar	
dust	hi	
dust	ja	
dust	zh	
duty	de	
duty	fr	
duty	es	
duty	it	
duty	pt	
duty	ru	
duty	ar	
duty	hi	
duty	ja	
duty	zh	
dynamics	de	
dynamics	fr	
dynamics	es	
dynamics	it	
dynamics	pt	
dynamics	ru	
dynamics	ar	
dynamics	hi	
dynamics	ja	
dynamics	zh	
dynasty	de	
dynasty	fr	
dynasty	es	
dynasty	it	
dynasty	pt	
dynasty	ru	
dynasty	ar	
dynasty	hi	
dynasty	ja	
dynasty	zh	
each	de	
each	fr	
each	es	
each	it	
each	pt	
each	ru	
each	ar	
each	hi	
each	ja	
each	zh	
eagle	de	
eagle	fr	
eagle	es	
eagle	it	
eagle	pt	
eagle	ru	
eagle	ar	
eagle	hi	
eagle	ja	
eagle	zh	
ear	de	
ear	fr	
ear	es	
ear	it	
ear	pt	
ear	ru	
ear	ar	
ear	hi	
ear	ja	
ear	zh	
early	de	
early	fr	
early	es	
early	it	
early	pt	
early	ru	
early	ar	
early	hi	
early	ja	
early	zh	
earth	de	
earth	fr	
earth	es	
earth	it	
earth	pt	
earth	ru	
earth	ar	
earth	hi	
earth	ja	
earth	zh	
earthquake	de	
earthquake	fr	
earthquake	es	
earthquake	it	
earthquake	pt	
earthquake	ru	
earthquake	ar	
earthquake	hi	
earthquake	ja	
earthquake	zh	
east	de	
east	fr	
east	es	
east	it	
east	pt	
east	ru	
east	ar	
east	hi	
east	ja	
east	zh	
echo	de	
echo	fr	
echo	es	
echo	it	
echo	pt	
echo	ru	
echo	ar	
echo	hi	
echo	ja	
echo	zh	
economics	de	
economics	fr	
economics	es	
economics	it	
economics	pt	
economics	ru	
economics	ar	
economics	hi	
economics	ja	
economics	zh	
economy	de	
economy	fr	
economy	es	
economy	it	
economy	pt	
economy	ru	
economy	ar	
economy	hi	
economy	ja	
economy	zh	
edge	de	
edge	fr	
edge	es	
edge	it	
edge	pt	
edge	ru	
edge	ar	
edge	hi	
edge	ja	
edge	zh	
edition	de	
edition	fr	
edition	es	
edition	it	
edition	pt	
edition	ru	
edition	ar	
edition	hi	
edition	ja	
edition	zh	
editor	de	
editor	fr	
editor	es	
editor	it	
editor	pt	
editor	ru	
editor	ar	
editor	hi	
editor	ja	
editor	zh	
education	de	
education	fr	
education	es	
education	it	
education	pt	
education	ru	
education	ar	
education	hi	
education	ja	
education	zh	
eel	de	
eel	fr	
eel	es	
eel	it	
eel	pt	
eel	ru	
eel	ar	
eel	hi	
eel	ja	
eel	zh	
effect	de	
effect	fr	
effect	es	
effect	it	
effect	pt	
effect	ru	
effect	ar	
effect	hi	
effect	ja	
effect	zh	
effectiveness	de	
effectiveness	fr	
effectiveness	es	
effectiveness	it	
effectiveness	pt	
effectiveness	ru	
effectiveness	ar	
effectiveness	hi	
effectiveness	ja	
effectiveness	zh	
efficiency	de	
efficiency	fr	
efficiency	es	
efficiency	it	
efficiency	pt	
efficiency	ru	
efficiency	ar	
efficiency	hi	
efficiency	ja	
efficiency	zh	
effort	de	
effort	fr	
effort	es	
effort	it	
effort	pt	
effort	ru	
effort	ar	
effort	hi	
effort	ja	
effort	zh	
egg	de	
egg	fr	
egg	es	
egg	it	
egg	pt	
egg	ru	
egg	ar	
egg	hi	
egg	ja	
egg	zh	
ego	de	
ego	fr	
ego	es	
ego	it	
ego	pt	
ego	ru	
ego	ar	
ego	hi	
ego	ja	
ego	zh	
eight	de	
eight	fr	
eight	es	
eight	it	
eight	pt	
eight	ru	
eight	ar	
eight	hi	
eight	ja	
eight	zh	
either	de	
either	fr	
either	es	
either	it	
either	pt	
either	ru	
either	ar	
either	hi	
either	ja	
either	zh	
elbow	de	
elbow	fr	
elbow	es	
elbow	it	
elbow	pt	
elbow	ru	
elbow	ar	
elbow	hi	
elbow	ja	
elbow	zh	
election	de	
election	fr	
election	es	
election	it	
election	pt	
election	ru	
election	ar	
election	hi	
election	ja	
election	zh	
electricity	de	
electricity	fr	
electricity	es	
electricity	it	
electricity	pt	
electricity	ru	
electricity	ar	
electricity	hi	
electricity	ja	
electricity	zh	
electronics	de	
electronics	fr	
electronics	es	
electronics	it	
electronics	pt	
electronics	ru	
electronics	ar	
electronics	hi	
electronics	ja	
electronics	zh	
element	de	
element	fr	
element	es	
element	it	
element	pt	
element	ru	
element	ar	
element	hi	
element	ja	
element	zh	
elephant	de	
elephant	fr	
elephant	es	
elephant	it	
elephant	pt	
elephant	ru	
elephant	ar	
elephant	hi	
elephant	ja	
elephant	zh	
elevator	de	
elevator	fr	
elevator	es	
elevator	it	
elevator	pt	
elevator	ru	
elevator	ar	
elevator	hi	
elevator	ja	
elevator	zh	
elimination	de	
elimination	fr	
elimination	es	
elimination	it	
elimination	pt	
elimination	ru	
elimination	ar	
elimination	hi	
elimination	ja	
elimination	zh	
email	de	
email	fr	
email	es	
email	it	
email	pt	
email	ru	
email	ar	
email	hi	
email	ja	
email	zh	
emergency	de	
emergency	fr	
emergency	es	
emergency	it	
emergency	pt	
emergency	ru	
emergency	ar	
emergency	hi	
emergency	ja	
emergency	zh	
emission	de	
emission	fr	
emission	es	
emission	it	
emission	pt	
emission	ru	
emission	ar	
emission	hi	
emission	ja	
emission	zh	
emotion	de	
emotion	fr	
emotion	es	
emotion	it	
emotion	pt	
emotion	ru	
emotion	ar	
emotion	hi	
emotion	ja	
emotion	zh	
emperor	de	
emperor	fr	
emperor	es	
emperor	it	
emperor	pt	
emperor	ru	
emperor	ar	
emperor	hi	
emperor	ja	
emperor	zh	
emphasis	de	
emphasis	fr	
emphasis	es	
emphasis	it	
emphasis	pt	
emphasis	ru	
emphasis	ar	
emphasis	hi	
emphasis	ja	
emphasis	zh	
empire	de	
empire	fr	
empire	es	
empire	it	
empire	pt	
empire	ru	
empire	ar	
empire	hi	
empire	ja	
empire	zh	
employee	de	
employee	fr	
employee	es	
employee	it	
employee	pt	
employee	ru	
employee	ar	
employee	hi	
employee	ja	
employee	zh	
employer	de	
employer	fr	
employer	es	
employer	it	
employer	pt	
employer	ru	
employer	ar	
employer	hi	
employer	ja	
employer	zh	
employment	de	
employment	fr	
employment	es	
employment	it	
employment	pt	
employment	ru	
employment	ar	
employment	hi	
employment	ja	
employment	zh	
end	de	
end	fr	
end	es	
end	it	
end	pt	
end	ru	
end	ar	
end	hi	
end	ja	
end	zh	
ending	de	
ending	fr	
ending	es	
ending	it	
ending	pt	
ending	ru	
ending	ar	
ending	hi	
ending	ja	
ending	zh	
endowment	de	
endowment	fr	
endowment	es	
endowment	it	
endowment	pt	
endowment	ru	
endowment	ar	
endowment	hi	
endowment	ja	
endowment	zh	
endurance	de	
endurance	fr	
endurance	es	
endurance	it	
endurance	pt	
endurance	ru	
endurance	ar	
endurance	hi	
endurance	ja	
endurance	zh	
enemy	de	
enemy	fr	
enemy	es	
enemy	it	
enemy	pt	
enemy	ru	
enemy	ar	
enemy	hi	
enemy	ja	
enemy	zh	
energy	de	
energy	fr	
energy	es	
energy	it	
energy	pt	
energy	ru	
energy	ar	
energy	hi	
energy	ja	
energy	zh	
enforcement	de	
enforcement	fr	
enforcement	es	
enforcement	it	
enforcement	pt	
enforcement	ru	
enforcement	ar	
enforcement	hi	
enforcement	ja	
enforcement	zh	
engagement	de	
engagement	fr	
engagement	es	
engagement	it	
engagement	pt	
engagement	ru	
engagement	ar	
engagement	hi	
engagement	ja	
engagement	zh	
engineer	de	
engineer	fr	
engineer	es	
engineer	it	
engineer	pt	
engineer	ru	
engineer	ar	
engineer	hi	
engineer	ja	
engineer	zh	
England	de	Das historische England bewahrte alte kulturelle Wahrzeichen.
England	fr	L'Angleterre historique a préservé d'anciens monuments culturels.
England	es	La Inglaterra histórica preservó antiguos monumentos culturales.
England	it	L'Inghilterra storica ha preservato antichi monumenti culturali.
England	pt	A Inglaterra histórica preservou marcos culturais antigos.
England	ru	Историческая Англия сохранила древние культурные достопримечательности.
England	ar	حافظت إنجلترا التاريخية على المعالم الثقافية القديمة.
England	hi	ऐतिहासिक इंग्लैंड ने प्राचीन सांस्कृतिक स्थलों को संरक्षित किया।
England	ja	歴史的なイングランドは古代の文化的建造物を保存しました。
England	zh	历史悠久的英格兰保存了古老的文化地标。
English	de	Das moderne Englisch entwickelte sich aus mittelalterlichen Ursprüngen.
English	fr	L'anglais moderne a évolué à partir d'origines médiévales.
English	es	El inglés moderno evolucionó desde orígenes medievales.
English	it	L'inglese moderno si è evoluto da origini medievali.
English	pt	O inglês moderno evoluiu de origens medievais.
English	ru	Современный английский язык развился из средневековых корней.
English	ar	تطورت اللغة الإنجليزية الحديثة من أصول القرون الوسطى.
English	hi	आधुनिक अंग्रेजी मध्यकालीन मूल से विकसित हुई।
English	ja	現代英語は中世の起源から発展しました。
English	zh	现代英语从中世纪起源演变而来。
enjoyment	de	
enjoyment	fr	
enjoyment	es	
enjoyment	it	
enjoyment	pt	
enjoyment	ru	
enjoyment	ar	
enjoyment	hi	
enjoyment	ja	
enjoyment	zh	
enlargement	de	
enlargement	fr	
enlargement	es	
enlargement	it	
enlargement	pt	
enlargement	ru	
enlargement	ar	
enlargement	hi	
enlargement	ja	
enlargement	zh	
enlightenment	de	
enlightenment	fr	
enlightenment	es	
enlightenment	it	
enlightenment	pt	
enlightenment	ru	
enlightenment	ar	
enlightenment	hi	
enlightenment	ja	
enlightenment	zh	
enrollment	de	
enrollment	fr	
enrollment	es	
enrollment	it	
enrollment	pt	
enrollment	ru	
enrollment	ar	
enrollment	hi	
enrollment	ja	
enrollment	zh	
ensemble	de	
ensemble	fr	
ensemble	es	
ensemble	it	
ensemble	pt	
ensemble	ru	
ensemble	ar	
ensemble	hi	
ensemble	ja	
ensemble	zh	
entail	de	
entail	fr	
entail	es	
entail	it	
entail	pt	
entail	ru	
entail	ar	
entail	hi	
entail	ja	
entail	zh	
enterprise	de	
enterprise	fr	
enterprise	es	
enterprise	it	
enterprise	pt	
enterprise	ru	
enterprise	ar	
enterprise	hi	
enterprise	ja	
enterprise	zh	
entertainment	de	
entertainment	fr	
entertainment	es	
entertainment	it	
entertainment	pt	
entertainment	ru	
entertainment	ar	
entertainment	hi	
entertainment	ja	
entertainment	zh	
enthusiasm	de	
enthusiasm	fr	
enthusiasm	es	
enthusiasm	it	
enthusiasm	pt	
enthusiasm	ru	
enthusiasm	ar	
enthusiasm	hi	
enthusiasm	ja	
enthusiasm	zh	
entity	de	
entity	fr	
entity	es	
entity	it	
entity	pt	
entity	ru	
entity	ar	
entity	hi	
entity	ja	
entity	zh	
entrance	de	
entrance	fr	
entrance	es	
entrance	it	
entrance	pt	
entrance	ru	
entrance	ar	
entrance	hi	
entrance	ja	
entrance	zh	
entry	de	
entry	fr	
entry	es	
entry	it	
entry	pt	
entry	ru	
entry	ar	
entry	hi	
entry	ja	
entry	zh	
environment	de	
environment	fr	
environment	es	
environment	it	
environment	pt	
environment	ru	
environment	ar	
environment	hi	
environment	ja	
environment	zh	
envy	de	
envy	fr	
envy	es	
envy	it	
envy	pt	
envy	ru	
envy	ar	
envy	hi	
envy	ja	
envy	zh	
enzyme	de	
enzyme	fr	
enzyme	es	
enzyme	it	
enzyme	pt	
enzyme	ru	
enzyme	ar	
enzyme	hi	
enzyme	ja	
enzyme	zh	
epidemic	de	
epidemic	fr	
epidemic	es	
epidemic	it	
epidemic	pt	
epidemic	ru	
epidemic	ar	
epidemic	hi	
epidemic	ja	
epidemic	zh	
episode	de	
episode	fr	
episode	es	
episode	it	
episode	pt	
episode	ru	
episode	ar	
episode	hi	
episode	ja	
episode	zh	
epoch	de	
epoch	fr	
epoch	es	
epoch	it	
epoch	pt	
epoch	ru	
epoch	ar	
epoch	hi	
epoch	ja	
epoch	zh	
equality	de	
equality	fr	
equality	es	
equality	it	
equality	pt	
equality	ru	
equality	ar	
equality	hi	
equality	ja	
equality	zh	
equation	de	
equation	fr	
equation	es	
equation	it	
equation	pt	
equation	ru	
equation	ar	
equation	hi	
equation	ja	
equation	zh	
equator	de	
equator	fr	
equator	es	
equator	it	
equator	pt	
equator	ru	
equator	ar	
equator	hi	
equator	ja	
equator	zh	
equipment	de	
equipment	fr	
equipment	es	
equipment	it	
equipment	pt	
equipment	ru	
equipment	ar	
equipment	hi	
equipment	ja	
equipment	zh	
equity	de	
equity	fr	
equity	es	
equity	it	
equity	pt	
equity	ru	
equity	ar	
equity	hi	
equity	ja	
equity	zh	
eraser	de	
eraser	fr	
eraser	es	
eraser	it	
eraser	pt	
eraser	ru	
eraser	ar	
eraser	hi	
eraser	ja	
eraser	zh	
erection	de	
erection	fr	
erection	es	
erection	it	
erection	pt	
erection	ru	
erection	ar	
erection	hi	
erection	ja	
erection	zh	
error	de	
error	fr	
error	es	
error	it	
error	pt	
error	ru	
error	ar	
error	hi	
error	ja	
error	zh	
eruption	de	
eruption	fr	
eruption	es	
eruption	it	
eruption	pt	
eruption	ru	
eruption	ar	
eruption	hi	
eruption	ja	
eruption	zh	
escape	de	
escape	fr	
escape	es	
escape	it	
escape	pt	
escape	ru	
escape	ar	
escape	hi	
escape	ja	
escape	zh	
escort	de	
escort	fr	
escort	es	
escort	it	
escort	pt	
escort	ru	
escort	ar	
escort	hi	
escort	ja	
escort	zh	
essence	de	
essence	fr	
essence	es	
essence	it	
essence	pt	
essence	ru	
essence	ar	
essence	hi	
essence	ja	
essence	zh	
establishment	de	
establishment	fr	
establishment	es	
establishment	it	
establishment	pt	
establishment	ru	
establishment	ar	
establishment	hi	
establishment	ja	
establishment	zh	
estate	de	
estate	fr	
estate	es	
estate	it	
estate	pt	
estate	ru	
estate	ar	
estate	hi	
estate	ja	
estate	zh	
esteem	de	
esteem	fr	
esteem	es	
esteem	it	
esteem	pt	
esteem	ru	
esteem	ar	
esteem	hi	
esteem	ja	
esteem	zh	
estimate	de	
estimate	fr	
estimate	es	
estimate	it	
estimate	pt	
estimate	ru	
estimate	ar	
estimate	hi	
estimate	ja	
estimate	zh	
estimation	de	
estimation	fr	
estimation	es	
estimation	it	
estimation	pt	
estimation	ru	
estimation	ar	
estimation	hi	
estimation	ja	
estimation	zh	
eternal	de	
eternal	fr	
eternal	es	
eternal	it	
eternal	pt	
eternal	ru	
eternal	ar	
eternal	hi	
eternal	ja	
eternal	zh	
eternity	de	
eternity	fr	
eternity	es	
eternity	it	
eternity	pt	
eternity	ru	
eternity	ar	
eternity	hi	
eternity	ja	
eternity	zh	
ethic	de	
ethic	fr	
ethic	es	
ethic	it	
ethic	pt	
ethic	ru	
ethic	ar	
ethic	hi	
ethic	ja	
ethic	zh	
etiquette	de	
etiquette	fr	
etiquette	es	
etiquette	it	
etiquette	pt	
etiquette	ru	
etiquette	ar	
etiquette	hi	
etiquette	ja	
etiquette	zh	
euphemism	de	
euphemism	fr	
euphemism	es	
euphemism	it	
euphemism	pt	
euphemism	ru	
euphemism	ar	
euphemism	hi	
euphemism	ja	
euphemism	zh	
euro	de	
euro	fr	
euro	es	
euro	it	
euro	pt	
euro	ru	
euro	ar	
euro	hi	
euro	ja	
euro	zh	
Europe	de	Das mittelalterliche Europa erlebte bedeutende kulturelle Wandlungen.
Europe	fr	L'Europe médiévale a connu une transformation culturelle significative.
Europe	es	La Europa medieval experimentó una transformación cultural significativa.
Europe	it	L'Europa medievale ha sperimentato una significativa trasformazione culturale.
Europe	pt	A Europa medieval experimentou uma transformação cultural significativa.
Europe	ru	Средневековая Европа пережила значительную культурную трансформацию.
Europe	ar	شهدت أوروبا في العصور الوسطى تحولاً ثقافياً كبيراً.
Europe	hi	मध्यकालीन यूरोप ने महत्वपूर्ण सांस्कृतिक परिवर्तन का अनुभव किया।
Europe	ja	中世ヨーロッパは重要な文化的変革を経験しました。
Europe	zh	中世纪欧洲经历了重大的文化变革。
evacuation	de	
evacuation	fr	
evacuation	es	
evacuation	it	
evacuation	pt	
evacuation	ru	
evacuation	ar	
evacuation	hi	
evacuation	ja	
evacuation	zh	
eve	de	
eve	fr	
eve	es	
eve	it	
eve	pt	
eve	ru	
eve	ar	
eve	hi	
eve	ja	
eve	zh	
evening	de	
evening	fr	
evening	es	
evening	it	
evening	pt	
evening	ru	
evening	ar	
evening	hi	
evening	ja	
evening	zh	
event	de	
event	fr	
event	es	
event	it	
event	pt	
event	ru	
event	ar	
event	hi	
event	ja	
event	zh	
evergreen	de	
evergreen	fr	
evergreen	es	
evergreen	it	
evergreen	pt	
evergreen	ru	
evergreen	ar	
evergreen	hi	
evergreen	ja	
evergreen	zh	
everlasting	de	
everlasting	fr	
everlasting	es	
everlasting	it	
everlasting	pt	
everlasting	ru	
everlasting	ar	
everlasting	hi	
everlasting	ja	
everlasting	zh	
evidence	de	
evidence	fr	
evidence	es	
evidence	it	
evidence	pt	
evidence	ru	
evidence	ar	
evidence	hi	
evidence	ja	
evidence	zh	
evil	de	
evil	fr	
evil	es	
evil	it	
evil	pt	
evil	ru	
evil	ar	
evil	hi	
evil	ja	
evil	zh	
evolution	de	
evolution	fr	
evolution	es	
evolution	it	
evolution	pt	
evolution	ru	
evolution	ar	
evolution	hi	
evolution	ja	
evolution	zh	
ex	de	
ex	fr	
ex	es	
ex	it	
ex	pt	
ex	ru	
ex	ar	
ex	hi	
ex	ja	
ex	zh	
exaggeration	de	
exaggeration	fr	
exaggeration	es	
exaggeration	it	
exaggeration	pt	
exaggeration	ru	
exaggeration	ar	
exaggeration	hi	
exaggeration	ja	
exaggeration	zh	
exam	de	
exam	fr	
exam	es	
exam	it	
exam	pt	
exam	ru	
exam	ar	
exam	hi	
exam	ja	
exam	zh	
examination	de	
examination	fr	
examination	es	
examination	it	
examination	pt	
examination	ru	
examination	ar	
examination	hi	
examination	ja	
examination	zh	
example	de	
example	fr	
example	es	
example	it	
example	pt	
example	ru	
example	ar	
example	hi	
example	ja	
example	zh	
exception	de	
exception	fr	
exception	es	
exception	it	
exception	pt	
exception	ru	
exception	ar	
exception	hi	
exception	ja	
exception	zh	
excess	de	
excess	fr	
excess	es	
excess	it	
excess	pt	
excess	ru	
excess	ar	
excess	hi	
excess	ja	
excess	zh	
exchange	de	
exchange	fr	
exchange	es	
exchange	it	
exchange	pt	
exchange	ru	
exchange	ar	
exchange	hi	
exchange	ja	
exchange	zh	
excitement	de	
excitement	fr	
excitement	es	
excitement	it	
excitement	pt	
excitement	ru	
excitement	ar	
excitement	hi	
excitement	ja	
excitement	zh	
exclamation	de	
exclamation	fr	
exclamation	es	
exclamation	it	
exclamation	pt	
exclamation	ru	
exclamation	ar	
exclamation	hi	
exclamation	ja	
exclamation	zh	
excursion	de	
excursion	fr	
excursion	es	
excursion	it	
excursion	pt	
excursion	ru	
excursion	ar	
excursion	hi	
excursion	ja	
excursion	zh	
excuse	de	
excuse	fr	
excuse	es	
excuse	it	
excuse	pt	
excuse	ru	
excuse	ar	
excuse	hi	
excuse	ja	
excuse	zh	
execution	de	
execution	fr	
execution	es	
execution	it	
execution	pt	
execution	ru	
execution	ar	
execution	hi	
execution	ja	
execution	zh	
executive	de	
executive	fr	
executive	es	
executive	it	
executive	pt	
executive	ru	
executive	ar	
executive	hi	
executive	ja	
executive	zh	
exemption	de	
exemption	fr	
exemption	es	
exemption	it	
exemption	pt	
exemption	ru	
exemption	ar	
exemption	hi	
exemption	ja	
exemption	zh	
exercise	de	
exercise	fr	
exercise	es	
exercise	it	
exercise	pt	
exercise	ru	
exercise	ar	
exercise	hi	
exercise	ja	
exercise	zh	
exertion	de	
exertion	fr	
exertion	es	
exertion	it	
exertion	pt	
exertion	ru	
exertion	ar	
exertion	hi	
exertion	ja	
exertion	zh	
exhaust	de	
exhaust	fr	
exhaust	es	
exhaust	it	
exhaust	pt	
exhaust	ru	
exhaust	ar	
exhaust	hi	
exhaust	ja	
exhaust	zh	
exhibition	de	
exhibition	fr	
exhibition	es	
exhibition	it	
exhibition	pt	
exhibition	ru	
exhibition	ar	
exhibition	hi	
exhibition	ja	
exhibition	zh	
exile	de	
exile	fr	
exile	es	
exile	it	
exile	pt	
exile	ru	
exile	ar	
exile	hi	
exile	ja	
exile	zh	
existence	de	
existence	fr	
existence	es	
existence	it	
existence	pt	
existence	ru	
existence	ar	
existence	hi	
existence	ja	
existence	zh	
exodus	de	
exodus	fr	
exodus	es	
exodus	it	
exodus	pt	
exodus	ru	
exodus	ar	
exodus	hi	
exodus	ja	
exodus	zh	
expanse	de	
expanse	fr	
expanse	es	
expanse	it	
expanse	pt	
expanse	ru	
expanse	ar	
expanse	hi	
expanse	ja	
expanse	zh	
expansion	de	
expansion	fr	
expansion	es	
expansion	it	
expansion	pt	
expansion	ru	
expansion	ar	
expansion	hi	
expansion	ja	
expansion	zh	
expectation	de	
expectation	fr	
expectation	es	
expectation	it	
expectation	pt	
expectation	ru	
expectation	ar	
expectation	hi	
expectation	ja	
expectation	zh	
expedition	de	
expedition	fr	
expedition	es	
expedition	it	
expedition	pt	
expedition	ru	
expedition	ar	
expedition	hi	
expedition	ja	
expedition	zh	
expenditure	de	
expenditure	fr	
expenditure	es	
expenditure	it	
expenditure	pt	
expenditure	ru	
expenditure	ar	
expenditure	hi	
expenditure	ja	
expenditure	zh	
expense	de	
expense	fr	
expense	es	
expense	it	
expense	pt	
expense	ru	
expense	ar	
expense	hi	
expense	ja	
expense	zh	
experience	de	
experience	fr	
experience	es	
experience	it	
experience	pt	
experience	ru	
experience	ar	
experience	hi	
experience	ja	
experience	zh	
experiment	de	
experiment	fr	
experiment	es	
experiment	it	
experiment	pt	
experiment	ru	
experiment	ar	
experiment	hi	
experiment	ja	
experiment	zh	
expert	de	
expert	fr	
expert	es	
expert	it	
expert	pt	
expert	ru	
expert	ar	
expert	hi	
expert	ja	
expert	zh	
explanation	de	
explanation	fr	
explanation	es	
explanation	it	
explanation	pt	
explanation	ru	
explanation	ar	
explanation	hi	
explanation	ja	
explanation	zh	
explosion	de	
explosion	fr	
explosion	es	
explosion	it	
explosion	pt	
explosion	ru	
explosion	ar	
explosion	hi	
explosion	ja	
explosion	zh	
export	de	
export	fr	
export	es	
export	it	
export	pt	
export	ru	
export	ar	
export	hi	
