en,meaning_en,example_en
negotiation,Discussion,
neighbor,Nearby resident,
neighborhood,Area,
nest,A structure built by birds for laying eggs.,
net,A mesh fabric used for catching.,
network,System,
neuron,A nerve cell that transmits electrical impulses.,
neutral,Not supporting either side,
neutron,A subatomic particle with no electric charge.,
newbie,A person new to a particular activity,
news,Information,
newspaper,Daily publication,
nice,Pleasant or agreeable,
niche,A specialized segment of a market.,
nick,A small cut or notch,
nickel,A metallic chemical element,
night,Night,
nightingale,A small brown bird known for its beautiful song,
nightmare,A frightening dream,
nikujaga,A Japanese dish of stewed meat and potatoes.,
nine,The number 9,
nineteen,The number 19,
nineteenth,The ordinal number corresponding to 19.,
ninetieth,The ordinal number corresponding to 90.,
ninety,The number 90,
ninth,The ordinal number corresponding to 9.,
nip,To pinch or squeeze sharply.,
nitrogen,Colorless gas making up most atmosphere,
no,Used to give a negative response,
nobility,The quality of being noble.,
noise,Sound,
nomination,The action of nominating someone for a position.,
nonsense,Words or ideas that have no meaning.,
noodle,A strip of pasta or similar food.,
noon,the highest or peak point.,
norm,A standard or typical pattern,
normal,Conforming to a standard,
north,Direction,
northeast,The direction between north and east,
northern,Located in or characteristic of the north,
northward,In a northern direction,
northwest,The direction between north and west,
nose,Facial feature,
note,Message,
notebook,A book of blank pages for writing notes,
nothing,something of no importance,
notice,Announcement,
notion,Idea,
novelist,A person who writes novels,
novelty,The quality of being new or unusual,
november,The eleventh month of the year,
nucleus,The central core of an atom,
nude,a work of art depicting naked people,
number,Numeral,
numeral,A symbol or word representing a number,
nun,A woman who has devoted her life to religious service.,
nurse,Medical caregiver,
nut,A hard fruit with a seed inside.,
nutria,A large rodent native to South America.,
nutrient,A substance providing nourishment for growth.,
nutrition,The process of providing nourishment.,
nylon,A synthetic polymer used to make fabric and other products.,
oak,A large tree that produces acorns,
oasis,A fertile spot in a desert with water,
oat,A cereal grain used for food.,
obedience,The practice of obeying rules or commands,
objection,An expression of disagreement,
obligation,Duty,
obscurity,The state of being unknown or unclear,
observance,The practice of following customs or rules,
observation,Watching,
observer,A person who watches or notices things.,
obsession,An idea that continually preoccupies someone,
obstruction,Something that blocks or hinders progress,
occasion,Event,
occupation,A job or profession,
occurrence,An instance of something happening.,
ocean,Sea,
october,The tenth month of the year,
octopus,A sea creature with eight arms.,
odd,Strange or unusual,
oddity,A strange or unusual person or thing,
odds,The chances of something happening,
odor,A distinctive smell,
off,Away from a place or position,
offense,A violation of rules or laws.,
offensive,Causing displeasure or resentment,
offer,Proposal,
offering,Something offered as a gift or contribution,
office,Workplace,
officer,Official,
official,A person holding public office,
oil,Liquid fuel,
okra,A green vegetable with edible pods,
okroshka,A cold Russian soup made with vegetables and kvass,
old-timer,A person who has been in a place or activity for a long time.,
olive,A small oval fruit used for oil and food.,
omelet,A dish made from beaten eggs cooked in a pan,
omission,The action of excluding something,
on,Physically in contact with a surface,
one,The number 1,
onion,A bulbous vegetable with a strong smell and taste.,
onset,The beginning of something,
operation,Activity,
operator,Person who operates,
opinion,View,
opponent,Rival,
opposition,Resistance,
option,Choice,
order,Sequence,
ordinary,Normal,
organization,Group,
origin,Source,
output,Production,
outside,Exterior,
passive,Not actively participating,
pastime,An activity done for enjoyment in spare time,
patriotism,Love for and devotion to one's country,
patronage,sponsorship of arts.,
pawn,A chess piece of lowest value.,
pay,Payment,
payday,The day when wages are paid,
payoff,A payment made to someone,
paystub,A document showing salary details,
peat,Partially decomposed organic matter used as fuel.,
peculiarity,An unusual characteristic or feature,
peep,A quick look,
peg,A wooden or plastic pin for hanging or fastening.,
pelmeni,Russian dumplings filled with meat.,
pence,Plural of penny,
pendant,An ornament hanging from jewelry,
pennsylvania,A state in the northeastern United States.,
people,People,
percent,Percentage,
perch,A place where birds rest,
perjury,The crime of lying under oath,
perseverance,Continued effort despite difficulties,
persona,The character presented to others,
persuasion,The act of convincing someone,
pesticide,A substance used to kill pests,
philosopher,A person who studies philosophy.,
pho,A Vietnamese soup with noodles and broth.,
photographer,A person who takes photographs professionally or as a hobby,
photography,The art or practice of taking photographs,
photon,A particle of light,
photosynthesis,The process by which plants make food using sunlight.,
physician,A medical doctor,
physicist,A scientist who studies physics,
pi,Mathematical constant approximately 3.14159.,
pianist,A person who plays the piano,
pickup,A small truck,
politics,Government,
prawn,A large shrimp-like crustacean,
precaution,An action taken to prevent problems,
precious,Of great value,
precipitation,the action of rushing into something,
prefecture,An administrative district,
prelude,An introductory piece of music,
premier,head of government,
preoccupation,The state of being absorbed in thought,
presentation,Showing,
preservative,A substance used to preserve food,
preserve,To keep safe from harm,
presidency,The office of president,
prestige,Respect and admiration,
presumption,An assumption based on reasonable evidence,
pretension,A claim to have achieved something,
pricing,The process of determining prices,
principal,head of school,
prior,head of religious house.,
private,Belonging to an individual,
privatization,Transfer of ownership from public to private sector,
probation,Testing period for good behavior,
proceeding,An action or course of action,
procession,A number of people moving forward in orderly fashion,
procurement,The action of obtaining or acquiring,
productivity,The effectiveness of productive effort,
profitability,The degree to which business generates profit,
progression,A gradual movement or change,
prohibition,The action of forbidding something,
prominence,State of being important or famous,
pronunciation,The way words are spoken,
prophecy,A prediction of future events,
proposition,A statement or assertion,
propriety,correctness of behavior.,
prosecution,pursuit of legal case.,
prosecutor,Legal official who conducts prosecution,
protectionism,Economic policy of restricting imports,
protector,One who protects,
ready,Prepared for action,
real,Reality,
realization,The act of becoming aware,
rear,The back part,
rebate,A partial refund,
recall,To remember,
receiver,A person who receives something,
receptor,A structure that responds to stimuli,
recess,A break between sessions,
recession,A period of economic decline,
recitation,The action of reciting,
recollection,The action of remembering,
reconnaissance,Military observation of enemy,
reconstruction,The action of rebuilding,
recourse,A source of help,
red,The color red,
redundancy,The state of being no longer needed,
redwood,A very tall coniferous tree,
reed,A tall grass-like plant,
refinement,The process of purifying,
reflex,Automatic response to stimulus,
refraction,Bending of light when passing through different medium,
refreshment,the giving of fresh strength,
refuge,place of safety,
regiment,A military unit,
register,Official list or record,
registry,A place where records are kept,
rehabilitation,Process of restoration to normal life,
reimbursement,Repayment of expenses,
reindeer,Large deer of Arctic regions,
reinforcement,Additional support or strengthening,
reliance,Dependence on something,
relic,Object from the past,
relocation,the act of moving,
remain,To stay,
remainder,Part left over,
remark,A comment or observation,
remembrance,Memory of person or event,
reminiscence,Enjoyable memory of past,
remnant,Small remaining part,
remuneration,Payment for services,
rendezvous,A meeting at agreed time and place,
renewal,The act of extending validity,
renown,Fame,
rental,Payment for use of property,
repayment,The action of paying back,
repetition,The action of repeating,
reporter,Person who reports news,
repose,Rest or sleep,
repression,The action of suppressing,
reproach,Expression of disapproval,
reproduction,Production of offspring,
reptile,Cold-blooded vertebrate animal,
republic,state without monarch.,
republican,Supporting republic form of government,
rugby,A team sport played with oval ball,
ruling,Official decision,
rumble,Deep rolling sound,
runner,Person who runs,
rupture,Breaking or bursting,
russian,A person from Russia,
rustle,Soft crackling sound,
rye,A cereal grain,
sadness,Feeling of sorrow,
sage,Wise person,
sailing,The activity of traveling by boat,
sailor,Person who works on ship,
sake,Purpose,
sales,The activity of selling,
samosa,Fried pastry with savory filling,
samurai,Japanese warrior class,
sanction,Official permission,
sanctuary,place of safety,
sandal,Open shoe held by straps,
sandy,Covered with sand,
sap,Fluid in plants,
sapphire,Blue precious gemstone,
sarcasm,Ironic or mocking language,
sardine,Small oily fish,
satan,The devil in religious belief,
satire,Literary work exposing vice,
saturday,The seventh day of the week,
saturn,Roman god of agriculture.,
saving,Money kept,
savior,Person who saves others,
savor,To taste and enjoy,
say,To speak words,
scan,To examine closely,
scarcity,State of being scarce,
scare,To frighten,
scarf,Piece of cloth worn around neck,
scatter,To spread widely,
scenario,Outline of possible events,
scent,Pleasant smell,
scholarship,Grant,
schooling,Education received at school,
scientist,Researcher,
scissor,Cutting tool with two blades,
scorch,To burn surface,
scorn,Contempt or disdain,
scotland,Country that is part of United Kingdom,
scout,Person who explores ahead,
scramble,To climb awkwardly,
scrap,Small piece of material,
scrawl,Careless handwriting,
scream,Loud high cry,
screening,Showing of movie,
screw,Fastener with spiral thread,
screwdriver,Tool for turning screws,
scribble,To write carelessly,
scripture,the Bible,
scrub,To clean by rubbing,
scrutiny,Critical examination,
scurry,To move quickly with short steps,
scythe,Tool with curved blade for cutting,
secretary,Assistant,
sex,Gender,
shine,Brightness,
shirt,Garment,
shock,Surprise,
shoe,Footwear,
shop,Store,
shopping,Buying,
shoulder,Body part,
shovel,Tool for digging and moving earth,
show,Display,
shower,Bath,
shred,Small strip of material,
shrimp,Small marine crustacean,
shrine,Sacred place of worship,
shrub,Small woody plant,
shudder,Trembling movement,
shuffle,To walk without lifting feet,
shuttle,Vehicle traveling regularly between two points.,
sickle,Curved blade tool for cutting grain.,
sickness,State of being ill,
side,Edge,
sideboard,Dining room furniture for serving,
siege,Military blockade of place,
sight,Vision,
sightseeing,Visiting places of interest,
sign,Symbol,
signal,Sign,
signature,Person's name written by themselves,
silence,Quiet,
silk,Fine soft fiber from silkworms,
silver,Metal,
similarity,Likeness,
simmer,To cook gently below boiling point,
sin,Wrongdoing,
sincerity,Quality of being sincere,
singer,Vocalist,
sink,Basin for washing,
sir,Title,
sister,Female sibling,
site,Location,
six,The number 6,
sixteen,The number 16,
sixteenth,The ordinal number corresponding to 16,
sixth,The ordinal number corresponding to 6,
sixtieth,The ordinal number corresponding to 60,
sixty,The number 60,
size,Dimension,
skate,Shoe with wheels or blade,
skating,The activity of moving on skates,
sketch,Rough drawing,
ski,Long narrow piece for snow travel,
skid,Sliding motion,
skiing,The sport of traveling on skis,
skill,Ability,
skin,Covering,
skirt,edge of area,
sky,Heavens,
slab,Thick flat piece of material,
slack,period of reduced activity,
slam,To shut forcefully,
slant,Sloping position,
slash,To cut with sweeping stroke,
slate,list of candidates,
slaughter,Killing of animals for food,
slaughterhouse,Building where animals are killed for meat,
slave,Person owned by another,
slavery,System of owning people,
sleep,Rest,
sleeve,Part of garment covering arm,
sling,Strap for carrying,
slip,Slide,
slob,someone lacking cleanliness,
slogan,Memorable phrase for advertising,
slope,Inclined surface,
slowdown,Reduction in speed or activity,
slug,Slow-moving mollusk,
slum,Poor urban area with substandard housing,
slumber,Sleep,
slump,Sudden decline,
smack,Sharp blow,
small,Smallness,
smart,Intelligent,
smell,Odor,
smile,Grin,
smoke,Vapor,
smoking,The practice of inhaling tobacco,
smooth,Having even surface,
smother,To suffocate,
snail,Slow-moving mollusk with shell,
snake,Long legless reptile,
snap,To break suddenly,
snarl,Angry growl,
snow,Precipitation,
snowboarding,Winter sport on single board,
snowstorm,Heavy fall of snow with wind,
snuff,Powdered tobacco for sniffing,
snug,Comfortable and warm,
soap,Cleanser,
soccer,Team sport played with round ball using feet,
socialism,Political system with collective ownership,
socialist,Person who supports socialism.,
society,Community,
socioeconomics,Study of social and economic factors.,
sock,Footwear,
soda,Carbonated soft drink,
sodium,Chemical element,
sofa,Long upholstered seat for multiple people,
soil,Earth,
soldier,A person serving in an army.,
sole,Bottom of foot or shoe,
solicitor,Lawyer who deals with legal matters.,
solid,Firm,
solitary,Done alone,
solitude,State of being alone,
solution,Answer,
son,Male offspring,
song,Music,
sorrow,cause of grief.,
sort,Type,
soul,Spirit,
sound,Noise,
soup,Liquid food,
sour,Having sharp taste,
source,Origin,
south,Direction,
southeast,Direction between south and east,
southern,characteristic of south.,
southward,In direction toward the south,
southwest,Direction between south and west,
sovereignty,Supreme authority,
soviet,Council in former USSR,
soybean,Edible bean high in protein,
space,Room,
spacecraft,Vehicle designed for space travel,
spaceship,Vehicle for traveling in space,
spade,Tool for digging,
spaghetti,Long thin pasta,
span,period of time,
spanish,Language of Spain,
spark,flash of light,
sparrow,Small brown bird,
spasm,Sudden involuntary muscle contraction,
speaker,Talker,
specialist,person with specialized knowledge,
specialty,Special skill or area of expertise,
species,Group of similar organisms,
specific,Clearly defined,
specification,Detailed description,
spectacle,Visually striking display,
spectator,Person who watches event,
speculation,Theory without firm evidence,
speech,Talk,
speed,Velocity,
spell,period of time.,
spelling,Correct formation of words,
sperm,Male reproductive cell,
spice,Aromatic seasoning,
spider,Eight-legged arthropod,
spill,To cause liquid to flow over,
spin,To rotate rapidly,
spinach,Dark green leafy vegetable,
spirit,Soul,
spit,small amount of land.,
split,Division,
spoil,To damage or ruin,
spokesperson,Person who speaks officially for group,
sponge,Absorbent cleaning material,
sponsor,Person or company providing financial support,
spoon,Eating utensil with bowl-shaped end,
sport,Game,
sporting,Related to sports,
spot,Place,
spotlight,Bright focused light,
sprawl,To spread out carelessly,
spray,Fine droplets of liquid,
spread,Extension,
spring,Season after winter,
springtime,Season of spring,
sprout,Young shoot of plant,
spy,person who watches secretly,
squadron,Military unit of aircraft or ships,
square,Shape,
squash,Gourd vegetable,
squat,To crouch down,
squeak,High-pitched sharp sound,
squeeze,To compress with pressure,
squid,Marine mollusk with tentacles,
squirrel,Small rodent with bushy tail,
stack,Pile of objects,
stadium,Large venue for sports events,
staff,Employees,
stage,Platform,
stagger,To walk unsteadily,
stagnation,State of not flowing or developing,
stain,Colored patch or mark,
stair,One step in flight of steps,
stake,Pointed wooden post,
stalk,Plant stem,
stall,Compartment for animal,
stamp,Postage sticker,
stand,To be upright,
standing,Social position,
star,Celestial body,
starch,Carbohydrate in plants,
start,Start,
start-up,process of starting.,
starvation,lack of food,
state,Condition,
statement,Declaration,
station,Stop,
statistics,Collection of numerical data,
statue,sculpture of person or animal,
status,Position,
stay,period of remaining,
steak,Slice of meat or fish,
steal,To take illegally,
steam,Water vapor,
steep,Having sharp slope,
stem,Plant stalk,
step,Pace,
stereo,Sound system with two channels,
stew,Dish of meat and vegetables,
stick,Rod,
stigma,Mark of disgrace,
still,Quietness,
stink,Bad smell,
stint,Period of work,
stir,To mix by moving,
stitch,Single loop of thread,
stock,Supply,
stockbroker,Person who buys and sells stocks,
stockholder,Person who owns shares in company,
stocking,Close-fitting leg covering,
stomach,Organ,
stomachache,Pain in stomach,
stone,Rock,
stonehenge,Ancient stone monument in England,
stool,Seat without back,
stoop,To bend forward,
stop,Stop,
storage,Keeping,
store,Shop,
storm,Weather,
story,Tale,
straight,Direct route,
strain,Pressure or tension,
strait,Narrow water passage,
stranger,Unknown person,
strap,Strip of leather or fabric,
strategy,Plan,
straw,Dried stalks of grain,
strawberry,Sweet red berry,
stream,Flow,
street,Road,
strength,Power,
stress,Pressure,
stretch,period of time,
strife,Angry disagreement,
strike,Hit,
striker,Person on strike,
string,Cord,
stroke,Single movement,
structure,Building,
student,Learner,
studio,Workplace,
study,Learning,
stump,Remaining part of tree,
stupidity,Lack of intelligence,
style,Manner,
subconscious,Below conscious awareness,
subdivision,Division into smaller parts,
subject,Topic,
submission,Act of yielding,
subscription,Regular payment for service,
subsidiary,Company owned by another,
subsidy,Financial assistance,
substance,Material,
subtlety,Quality of being subtle,
suburb,Residential area outside city center,
success,Achievement,
succession,Process of following in order,
suck,To draw in by suction,
sucker,Person easily deceived,
sue,To take legal action,
sufficiency,Adequate amount,
sugar,Sweetener,
suggestion,Proposal,
suicide,Act of killing oneself,
suit,Outfit,
sukiyaki,Japanese dish of beef and vegetables,
sulfur,Chemical element,
sultan,Muslim ruler,
sum,Total amount,
summary,Brief statement of main points,
summer,Hot season,
summertime,Summer season,
summit,Highest point,
sun,Star,
sunburn,Skin damage from sun exposure,
sunday,First day of week,
sunflower,Large yellow flower,
sunlight,Light from the sun,
sunrise,beginning of day,
sunset,end of day,
sunshine,Direct sunlight,
superconductor,Material with no electrical resistance.,
superior,person of higher rank,
supermarket,Large self-service grocery store,
supernova,Exploding star,
superpower,Dominant nation,
supervision,Act of overseeing,
supervisor,Person who oversees work,
supper,last meal of day,
supplement,Additional item,
supplier,Person or company providing goods,
supply,Provision,
support,Help,
supporter,Person who supports,
supposition,Assumption without proof,
surcharge,Additional charge,
surf,Ocean waves,
surface,Top,
surfing,Sport of riding waves,
surge,Sudden powerful movement,
surgeon,Medical doctor who performs operations,
surgery,Operation,
surplus,Amount left over,
surprise,Shock,
surrender,act of giving up.,
survey,Examination,
survival,Staying alive,
sushi,Japanese rice dish with fish,
suspect,Person believed to be guilty,
suspension,Temporary stopping,
suspicion,Feeling of doubt,
swamp,Wetland area,
swan,Large white water bird,
swap,To exchange,
sweat,Body moisture from heat,
sweater,Knitted garment,
sweep,To clean with broom,
sweet,Sweetness,
sweetheart,Beloved person,
sweetie,Term of endearment,
swell,To expand,
swift,Very fast,
swimming,Water sport,
swing,Movement,
switch,Change,
sword,Weapon with long blade,
sydney,Australian city,
symbol,Sign representing something,
sympathy,Compassion,
symphony,Large musical composition,
symptom,Sign,
syndicate,Group of organizations,
syndrome,Condition,
synthesis,Combination of elements,
syrup,Sweet thick liquid,
system,Method,
table,Furniture,
tablet,Small flat computer,
tack,Small nail,
tackle,Equipment,
tact,Skill in dealing with people,
tag,Label,
tail,Rear appendage of animal,
tailor,Person who makes clothes,
takeoff,beginning of flight,
takeover,Acquisition of company,
tale,Story,
talent,Ability,
talk,Speech,
tally,Count,
tan,Brown color from sun,
tank,Container,
tap,Faucet,
tape,Recording medium,
tariff,Tax on imports,
task,Job,
taste,Flavor,
tattoo,Permanent skin marking,
tax,Government charge,
taxation,System of taxes,
taxi,Vehicle for hire,
taxpayer,Person who pays taxes,
tea,Beverage,
teacher,Educator,
team,Group,
tear,Rip,
tech,Technology,
technique,Method,
technology,Science,
telegraph,Old communication system,
telephone,Phone,
television,TV,
temper,Mood,
temperament,Natural personality,
temperance,Moderation,
tempest,Violent storm,
temple,Religious building,
tempo,Speed of music,
temptation,Desire to do wrong,
tempura,Japanese fried food,
ten,group of ten items.,
tennis,Racket sport,
tenor,Male singing voice,
tension,Stress,
tent,Shelter,
tenth,one part of ten,
term,Word,
termination,End of employment,
terminology,language of a field.,
territorial,defensive of area,
territory,Area of land,
terror,Extreme fear,
test,Examination,
testament,part of Bible,
testimony,Evidence given in court,
texas,US state,
text,Writing,
textbook,study material,
textile,Cloth or fabric,
thank,Expression of gratitude,
thanksgiving,Holiday of gratitude,
theater,Playhouse,
theatrical,Related to theater,
theft,Stealing,
theology,Study of religion,
theory,Hypothesis,
therapy,Treatment,
thermal,Related to heat,
thermodynamics,Science of heat and energy,
thesis,Academic paper,
thick,Having great width,
thickness,State of being thick,
thief,Person who steals,
thing,Object,
think,Thought,
thinking,Process of thought,
third,one of three parts,
thirst,Need for liquid,
thirteen,Number 13,
thirteenth,one of thirteen parts,
thirtieth,one of thirty parts,
thirty,group of thirty.,
thorn,source of trouble.,
thoroughfare,Main road,
thought,Idea,
thousand,Number 1000,
thousandth,one of thousand parts,
thread,String,
threat,Danger,
three,group of three items,
thrift,Careful use of money,
throat,Neck passage,
throne,position of ruler,
thrust,To push forcefully,
thumb,Finger,
thunder,Sound of lightning,
thunderstorm,Storm with lightning and thunder,
thursday,Fourth day of week,
ticket,Pass,
tide,Rise and fall of sea,
tie,Connection,
tiger,Large striped cat,
tights,Close-fitting leg garment,
timber,Wood for building,
time,Time,
tin,Metal element,
tingle,Slight stinging sensation,
tissue,Paper,
title,Name,
toad,Amphibious animal,
toast,Browned bread,
tobacco,Plant used for smoking,
today,This present day,
toe,Foot digit,
toil,Hard work,
toilet,process of washing,
tolerance,Acceptance of differences,
toll,Fee for road use,
tomato,Red fruit,
tomb,Burial place,
tomorrow,Day after today,
ton,Unit of weight,
tone,Sound,
tongs,Gripping tool,
tongue,Oral muscle,
tonic,Medicinal substance,
tool,Instrument,
tooth,Dental structure,
toothache,Pain in tooth,
top,Summit,
topping,Food placed on top,
torment,Severe suffering,
tornado,Violent rotating windstorm,
torpedo,Underwater missile,
torrent,Fast-flowing stream,
torture,Inflicting severe pain,
toss,To throw lightly,
touch,Contact,
tour,Trip,
tourist,Person traveling for pleasure,
towel,Absorbent cloth,
tower,Tall narrow structure,
town,Small city,
townspeople,Residents of town,
toy,Plaything,
trace,Small amount,
track,Path,
tractor,Farm vehicle,
trade,Commerce,
trademark,Brand identifier,
trader,Person who trades,
tradition,Custom,
tragedy,Sad event,
trail,Path through wilderness,
train,Railway vehicle,
training,Education,
tramp,Homeless person,
transaction,Business deal,
transfer,Movement,
transit,Process of traveling,
translation,Converting language,
transmission,Sending information,
transparency,Quality of being clear,
transport,To carry from one place to another,
transportation,Travel,
trap,Device for catching,
trauma,Serious injury,
travel,Journey,
traveler,Person who travels,
tray,Flat container for carrying,
treachery,Betrayal,
tread,To step on,
treasure,Valuable collection,
treasurer,Person managing money,
treasury,place storing valuables,
treat,To give medical care,
treatment,Care,
treaty,Formal agreement between countries,
treble,High-pitched sound,
tree,Plant,
tremble,To shake with fear,
trespass,To enter illegally,
trial,Test,
tribe,Social group,
tribunal,Court of justice,
tribute,Payment to show respect,
trick,Clever act,
trickle,Thin stream,
trifle,Something of little importance,
trim,To cut neatly,
trio,Group of three,
trip,Journey,
triumph,Great success,
troop,Group of soldiers,
trot,Horse gait,
trouble,Problem,
trough,Container for animal food,
trout,Freshwater fish,
truce,suspension of hostilities.,
TRUE,Reality,
trumpet,Musical brass instrument,
trunk,Tree stem,
trust,Confidence,
truth,Fact,
tube,Hollow cylinder,
tuberculosis,TB,
tuck,To push into small space,
tuesday,Second day of week,
tuition,Teaching,
tulip,Spring flower,
tumble,To fall suddenly,
tumor,mass of tissue,
tuna,Large ocean fish,
tune,Melody,
turf,area of influence.,
turkey,Large bird,
turn,Rotation,
turnaround,Complete change,
turnip,Root vegetable,
turnover,Rate of change,
turtle,Reptile with shell,
twelfth,one of twelve parts,
twelve,group of twelve.,
twentieth,one of twenty parts,
twenty,group of twenty.,
twig,Small branch,
twin,One of two born together,
twinkle,To shine with flickering light,
twist,To turn forcefully,
twitter,Bird chirping,
two,Number 2,
type,Kind,
typhoon,Tropical cyclone,
tyranny,Cruel rule,
tyrant,Cruel ruler,
ukha,Russian fish soup,
ultimate,Final,
ultrasound,High-frequency sound waves,
umbrella,Rain protection device,
uncertainty,State of doubt,
uncle,Brother of parent,
unconscious,Not awake,
undergraduate,University student,
underground,Below ground,
underneath,Below,
underside,Bottom surface,
understanding,Comprehension,
undertaking,Task or project,
underwater,Below water surface,
underwear,Clothing worn under other clothes,
unemployment,State of being without work,
uniform,Standard clothing,
union,Joining,
unit,Single item,
unity,State of being united,
universe,All of space and time,
university,Higher education,
unknown,Not known,
unseen,Not visible,
up,Upward direction,
upgrade,Improvement,
uplift,To raise up,
upright,Vertical,
upset,Distressed,
upside,Upper side,
upstairs,Upper floor,
upturn,Improvement,
uranium,Radioactive metal,
uranus,Seventh planet from sun,
urge,Strong desire,
usage,Way of using,
use,Purpose,
usual,Normal,
utility,Usefulness,
utmost,Greatest possible,
utopia,Perfect society,
utterance,Spoken word,
vacancy,Empty position,
vacation,Holiday,
vaccine,Medicine preventing disease,
vacuum,absence of matter.,
validity,State of being valid,
valley,Low land,
valuation,Assessment of worth,
value,Worth,
van,Vehicle for transport,
vanilla,Flavoring spice,
vanity,Excessive pride,
vapor,Gas form of liquid,
variation,Difference,
variety,Diversity,
varnish,Protective coating,
vase,Container for flowers,
vault,Secure room,
vegetable,Edible plant,
vegetation,Plant life,
veil,Face covering,
vein,Blood vessel,
velocity,Speed,
vendor,Seller,
vengeance,Revenge,
venture,Business undertaking,
venus,Second planet from sun,
verdict,Jury decision,
verse,Poetry line,
vertebra,Spine bone,
vest,Sleeveless garment,
veteran,Former soldier,
veto,Power to reject,
vibe,Feeling,
vibration,Shaking movement,
vice,Bad habit,
vicinity,Nearby area,
victim,Sufferer,
victor,Winner,
victory,Success in battle,
video,Recording,
videoconference,Remote meeting via video,
view,Sight,
village,Small town,
villain,Bad person,
vine,Climbing plant,
vinegar,Sour liquid,
vineyard,Grape growing area,
vintage,Wine year,
viola,String musical instrument,
violation,Breaking of rule,
violence,Physical force,
violet,Purple flower,
violin,String musical instrument,
violinist,Person who plays violin,
virgin,Person who has never had sex,
virginia,US state,
virtue,Moral goodness,
virus,Infection,
visa,Travel permit,
visibility,Ability to see,
vision,Sight,
visitor,Person who visits,
vital,Essential,
vitamin,Nutrient for health,
vocabulary,Words known,
vocation,Occupation,
vogue,Fashion,
voice,Sound,
void,Emptiness,
volcano,Mountain with molten rock,
volley,Series of shots,
volleyball,Team sport with net,
volt,Unit of electrical potential,
voltage,Electrical pressure,
volume,Amount,
volunteer,Person who offers help freely,
vomit,To expel stomach contents,
vortex,Whirling mass,
vote,Ballot,
voucher,Certificate for goods,
vow,Solemn promise,
voyage,Long journey by sea,
wade,To walk through water,
wage,Salary,
wail,Loud cry of pain,
waist,Part of body between ribs and hips,
wait,Delay,
waiter,person serving food,
waitress,Female restaurant server,
walk,Stroll,
wall,Barrier,
wallet,Small case for money,
walnut,Edible nut,
waltz,Ballroom dance,
wane,To decrease,
want,Desire,
war,War,
ward,person under care,
wardrobe,Collection of clothes,
ware,Manufactured goods,
warfare,Armed fighting,
warm,Heat,
warp,To bend out of shape,
warrant,Legal document,
warranty,Guarantee of quality,
warrior,Fighter,
warship,Military vessel,
wartime,time of conflict,
wash,Washing,
washington,US state,
wasp,Stinging insect,
waste,Garbage,
watch,Timepiece,
water,Water,
watercolor,Paint mixed with water,
waterfall,Water falling from height,
watermelon,Large green fruit,
waterproof,Resistant to water,
watt,Unit of electrical power,
wave,Water movement,
wavelength,Distance between wave peaks,
wax,Solid substance from bees,
way,Method,
weakness,Frailty,
wealth,Riches,
weapon,Arm,
weather,Climate,
wedding,Marriage ceremony,
wednesday,Third day of week,
weed,Unwanted plant,
week,Week,
weekday,Monday to Friday,
weekend,Saturday and Sunday,
weep,To cry,
weight,Heaviness,
weirdo,Strange person,
welfare,Well-being,
west,Direction,
westward,Toward the west,
wet,Wetness,
whale,Large marine mammal,
wheat,Cereal grain,
wheel,Circular object,
wheelchair,Chair with wheels for disabled,
wheels,Multiple circular rolling objects,
whelk,Marine snail,
when,At what time,
where,In what place,
while,period of time,
whip,Flexible striking tool,
whirl,To spin rapidly,
whirlwind,Spinning wind,
whiskey,Alcoholic drink,
whisper,Soft quiet speech,
white,The color white,
wholesale,Selling in large quantities,
why,the reason,
widow,Woman whose husband died,
width,Distance from side to side,
wife,Married woman,
wig,Artificial hair covering,
wild,Wilderness,
will,Intention,
willow,Tree with drooping branches,
wimp,Weak person,
wince,To flinch from pain,
wind,Air movement,
windfall,Unexpected gain,
window,Opening,
wine,Alcoholic beverage,
wink,To close one eye briefly,
winner,Person who wins,
winter,Cold season,
wintertime,Winter season,
wire,Metal thread,
wireless,Wi-Fi,
wisconsin,US state,
wisdom,Deep knowledge,
wise,Having wisdom,
wish,Desire,
wit,Quick humor,
witch,Person practicing magic,
witness,Person who sees event,
woe,Great sorrow,
wolf,Wild canine,
woman,Woman,
wonder,Amazement,
wonton,Chinese dumpling,
wood,Timber,
woodland,Area covered with trees,
wool,Sheep hair,
woolen,Made of wool,
word,Term,
work,Job,
worker,Employee,
workflow,Sequence of work processes,
workforce,Group of workers,
workload,Amount of work,
workplace,Location of work,
workweek,Working days of week,
world,World,
worm,Long soft animal,
worry,Concern,
worship,Religious devotion,
worth,Value,
wound,Injury,
wrap,To cover,
wreck,Destroyed remains,
wrench,Tool for gripping,
wrestling,Combat sport,
wrist,Joint between hand and arm,
writer,Person who writes,
wrong,Mistake,
wuss,Weak person,
xanadu,Idyllic place,
xenon,Noble gas element,
xenophobia,Fear of foreigners,
xerox,Photocopy,
xmas,Christmas,
x-ray,Medical imaging,
xylitol,Sugar substitute,
xylophone,Percussion instrument,
yak,Large hairy ox,
yard,Garden,
yarn,Spun thread,
year,Year,
yellow,The color yellow,
yen,Japanese currency,
yes,Affirmative answer,
yesterday,Day before today,
yield,To produce,
yogurt,Fermented milk product,
yoke,Harness for oxen,
young,Not old,
youth,vigor of young age.,
zeal,Great enthusiasm,
zebra,Striped African animal,
